,chain_id,denom,type_asset,supply,description,denom_units,display,name,symbol,uri,denom_base,type_asset_base,type_asset_source,path,channels,chain_id_counterparty,supply_base,chain_id_base,channels_number,admin,ibc,traces,chain_name
0,noble-1,ibc/1FC57A69C7FFB1673E8D20F1DEC5C79D7BBD7E3F697D4D3B5BFB255440766CED,ics20,56955,,,,,,,uusdc,sdk.coin,,transfer/channel-1/transfer/channel-259/transfer/channel-122/transfer/channel-2/transfer/channel-750/transfer/channel-49/transfer/channel-2/transfer/channel-0/transfer/channel-569/transfer/channel-10/transfer/channel-259/transfer/channel-62/transfer/channel-1/transfer/channel-2188/transfer/channel-19,"['channel-1', 'channel-259', 'channel-122', 'channel-2', 'channel-750', 'channel-49', 'channel-2', 'channel-0', 'channel-569', 'channel-10', 'channel-259', 'channel-62', 'channel-1', 'channel-2188', 'channel-19']",osmosis-1,,,15,,"{'source_channel': 'channel-1', 'dst_channel': 'channel-750', 'source_denom': ''}",,noble
1,axelar-dojo-1,ibc/237C6BB61C8A722133A7F4FB7E9AFB45CD34C040E86D44908ADDD7D0E4FCB78B,ics20,1000000,,,,,,,uusdc,sdk.coin,ics20,transfer/channel-120/transfer/channel-2/transfer/channel-122/transfer/channel-1/transfer/channel-536/transfer/channel-1/transfer/channel-259/transfer/channel-62/transfer/channel-49/transfer/channel-2/transfer/channel-750/transfer/channel-4/transfer/channel-141/transfer/channel-2188/transfer/channel-19,"['channel-120', 'channel-2', 'channel-122', 'channel-1', 'channel-536', 'channel-1', 'channel-259', 'channel-62', 'channel-49', 'channel-2', 'channel-750', 'channel-4', 'channel-141', 'channel-2188', 'channel-19']",coreum-mainnet-1,,,15,,"{'source_channel': 'channel-120', 'dst_channel': 'channel-6', 'source_denom': 'ibc/56A422BE026779F847A8EFFFD4F7A91746953288BAB26C4EAE5E21BF4CBB70EE'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'coreum-mainnet-1', 'channel_id': 'channel-6', 'base_denom': 'ibc/56A422BE026779F847A8EFFFD4F7A91746953288BAB26C4EAE5E21BF4CBB70EE', 'chain_name': 'coreum', 'base_supply': 1000000}, 'chain': {'channel_id': 'channel-120', 'path': 'transfer/channel-120/transfer/channel-2/transfer/channel-122/transfer/channel-1/transfer/channel-536/transfer/channel-1/transfer/channel-259/transfer/channel-62/transfer/channel-49/transfer/channel-2/transfer/channel-750/transfer/channel-4/transfer/channel-141/transfer/channel-2188/transfer/channel-19/uusdc'}}]",axelar
2,kava_2222-10,ibc/B2719736BC8BE3AF15336EBEDD5FED70B5D9377CB5CF1F60DABEF5ABB61BCF7A,ics20,1000000,,,,,,,uosmo,sdk.coin,ics20,transfer/channel-0/transfer/channel-141/transfer/channel-42/transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141,"['channel-0', 'channel-141', 'channel-42', 'channel-1', 'channel-141', 'channel-143', 'channel-5', 'channel-17', 'channel-141', 'channel-75', 'channel-5', 'channel-29', 'channel-37', 'channel-0', 'channel-141']",cosmoshub-4,,,15,,"{'source_channel': 'channel-0', 'dst_channel': 'channel-277', 'source_denom': 'ibc/2C6714D652D104FFA9F45F034001A3A6AC3E06211573764F8A6BCC8E08D4D116'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'cosmoshub-4', 'channel_id': 'channel-277', 'base_denom': 'ibc/2C6714D652D104FFA9F45F034001A3A6AC3E06211573764F8A6BCC8E08D4D116', 'chain_name': 'cosmoshub', 'base_supply': 1000000}, 'chain': {'channel_id': 'channel-0', 'path': 'transfer/channel-0/transfer/channel-141/transfer/channel-42/transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141/uosmo'}}]",kava
3,cosmoshub-4,ibc/2C6714D652D104FFA9F45F034001A3A6AC3E06211573764F8A6BCC8E08D4D116,ics20,1000000,,,,,,,uosmo,sdk.coin,,transfer/channel-141/transfer/channel-42/transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141,"['channel-141', 'channel-42', 'channel-1', 'channel-141', 'channel-143', 'channel-5', 'channel-17', 'channel-141', 'channel-75', 'channel-5', 'channel-29', 'channel-37', 'channel-0', 'channel-141']",osmosis-1,,,14,,"{'source_channel': 'channel-141', 'dst_channel': 'channel-0', 'source_denom': ''}",,cosmoshub
4,injective-1,ibc/2C6714D652D104FFA9F45F034001A3A6AC3E06211573764F8A6BCC8E08D4D116,ics20,1000000,,,,,,,uosmo,sdk.coin,,transfer/channel-141/transfer/channel-42/transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141,"['channel-141', 'channel-42', 'channel-1', 'channel-141', 'channel-143', 'channel-5', 'channel-17', 'channel-141', 'channel-75', 'channel-5', 'channel-29', 'channel-37', 'channel-0', 'channel-141']",osmosis-1,,,14,,"{'source_channel': 'channel-141', 'dst_channel': 'channel-0', 'source_denom': ''}",,injective
5,coreum-mainnet-1,ibc/56A422BE026779F847A8EFFFD4F7A91746953288BAB26C4EAE5E21BF4CBB70EE,ics20,1000000,,,,,,,uusdc,sdk.coin,,transfer/channel-2/transfer/channel-122/transfer/channel-1/transfer/channel-536/transfer/channel-1/transfer/channel-259/transfer/channel-62/transfer/channel-49/transfer/channel-2/transfer/channel-750/transfer/channel-4/transfer/channel-141/transfer/channel-2188/transfer/channel-19,"['channel-2', 'channel-122', 'channel-1', 'channel-536', 'channel-1', 'channel-259', 'channel-62', 'channel-49', 'channel-2', 'channel-750', 'channel-4', 'channel-141', 'channel-2188', 'channel-19']",osmosis-1,,,14,,"{'source_channel': 'channel-2', 'dst_channel': 'channel-2188', 'source_denom': ''}",,coreum
6,kaiyo-1,ibc/A9CE50661719DE7F0C5929A239A8FB3B2F01AC08DE233343BAEDDC5B2D5F857E,ics20,56955,,,,,,,uusdc,sdk.coin,ics20,transfer/channel-122/transfer/channel-2/transfer/channel-750/transfer/channel-49/transfer/channel-2/transfer/channel-0/transfer/channel-569/transfer/channel-10/transfer/channel-259/transfer/channel-62/transfer/channel-1/transfer/channel-2188/transfer/channel-19,"['channel-122', 'channel-2', 'channel-750', 'channel-49', 'channel-2', 'channel-0', 'channel-569', 'channel-10', 'channel-259', 'channel-62', 'channel-1', 'channel-2188', 'channel-19']",coreum-mainnet-1,,,13,,"{'source_channel': 'channel-122', 'dst_channel': 'channel-17', 'source_denom': 'ibc/E8D2AF1EEBDD8F56CF9F39B5C81D5C2A1207A39679CD91558E6F26051288B9F6'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'coreum-mainnet-1', 'channel_id': 'channel-17', 'base_denom': 'ibc/E8D2AF1EEBDD8F56CF9F39B5C81D5C2A1207A39679CD91558E6F26051288B9F6', 'chain_name': 'coreum', 'base_supply': 56955}, 'chain': {'channel_id': 'channel-122', 'path': 'transfer/channel-122/transfer/channel-2/transfer/channel-750/transfer/channel-49/transfer/channel-2/transfer/channel-0/transfer/channel-569/transfer/channel-10/transfer/channel-259/transfer/channel-62/transfer/channel-1/transfer/channel-2188/transfer/channel-19/uusdc'}}]",kujira
7,cosmoshub-4,ibc/ED6BBBBA1EDB89013C83B9E308DF802407A04F99A412CF632C61093A5ECA9545,ics20,41999917,,,,,,,peggy0xdAC17F958D2ee523a2206206994597C13D831ec7,sdk.coin,,transfer/channel-220/transfer/channel-8/transfer/channel-0/transfer/channel-220/transfer/channel-8/transfer/channel-143/transfer/channel-0/transfer/channel-141/transfer/channel-259/transfer/channel-54/transfer/channel-1/transfer/channel-141/transfer/channel-122,"['channel-220', 'channel-8', 'channel-0', 'channel-220', 'channel-8', 'channel-143', 'channel-0', 'channel-141', 'channel-259', 'channel-54', 'channel-1', 'channel-141', 'channel-122']",injective-1,,,13,,"{'source_channel': 'channel-220', 'dst_channel': 'channel-1', 'source_denom': ''}",,cosmoshub
8,axelar-dojo-1,ibc/2696193DFBFA1722A66ACE1366FEFAC4282DF41A08FD3493905B7C0D3D17DCB9,ics20,100000,,,,,,,uusdc,sdk.coin,ics20,transfer/channel-120/transfer/channel-9/transfer/channel-141/transfer/channel-2188/transfer/channel-9/transfer/channel-536/transfer/channel-1/transfer/channel-0/transfer/channel-660/transfer/channel-2/transfer/channel-0/transfer/channel-660/transfer/channel-19,"['channel-120', 'channel-9', 'channel-141', 'channel-2188', 'channel-9', 'channel-536', 'channel-1', 'channel-0', 'channel-660', 'channel-2', 'channel-0', 'channel-660', 'channel-19']",coreum-mainnet-1,,,13,,"{'source_channel': 'channel-120', 'dst_channel': 'channel-6', 'source_denom': 'ibc/98D01B33078D149938C9B1E2F760E55F4991E76D2A59244DF78F10C4D12863F4'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'coreum-mainnet-1', 'channel_id': 'channel-6', 'base_denom': 'ibc/98D01B33078D149938C9B1E2F760E55F4991E76D2A59244DF78F10C4D12863F4', 'chain_name': 'coreum', 'base_supply': 100000}, 'chain': {'channel_id': 'channel-120', 'path': 'transfer/channel-120/transfer/channel-9/transfer/channel-141/transfer/channel-2188/transfer/channel-9/transfer/channel-536/transfer/channel-1/transfer/channel-0/transfer/channel-660/transfer/channel-2/transfer/channel-0/transfer/channel-660/transfer/channel-19/uusdc'}}, {'type': 'ibc', 'counterparty': {'chain_id': 'cosmoshub-4', 'channel_id': 'channel-660', 'base_denom': 'ibc/6898AE1685C5915832C2E026FF6324E16F0F22CA6C07FF2CCE950F468D5E4D2F', 'chain_name': 'cosmoshub', 'base_supply': 600000}, 'chain': {'channel_id': 'channel-9', 'path': 'transfer/channel-9/transfer/channel-141/transfer/channel-2188/transfer/channel-9/transfer/channel-536/transfer/channel-1/transfer/channel-0/transfer/channel-660/transfer/channel-2/transfer/channel-0/transfer/channel-660/transfer/channel-19/uusdc'}}]",axelar
9,injective-1,ibc/ED6BBBBA1EDB89013C83B9E308DF802407A04F99A412CF632C61093A5ECA9545,ics20,41999917,,,,,,,peggy0xdAC17F958D2ee523a2206206994597C13D831ec7,sdk.coin,,transfer/channel-220/transfer/channel-8/transfer/channel-0/transfer/channel-220/transfer/channel-8/transfer/channel-143/transfer/channel-0/transfer/channel-141/transfer/channel-259/transfer/channel-54/transfer/channel-1/transfer/channel-141/transfer/channel-122,"['channel-220', 'channel-8', 'channel-0', 'channel-220', 'channel-8', 'channel-143', 'channel-0', 'channel-141', 'channel-259', 'channel-54', 'channel-1', 'channel-141', 'channel-122']",injective-1,,,13,,"{'source_channel': 'channel-220', 'dst_channel': 'channel-1', 'source_denom': ''}",,injective
